S. No.,LR No.,LR Date  ,Vehicle Size,Bill To,From Location,To Location,Revenue,TML Invoice No-,TML Invoice Date,Transporter Name,Transport Charges
641,25000,2022-06-10,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0163, 0164",2022-07-06 00:00:00,Sunny Tempo,1100.0
642,25701,2022-06-10,Champion,Ariston_Rithala,Rithala,Faridabad,2800.0,"0146, 0147",2022-06-23 00:00:00,Sunny Tempo,2200.0
643,25702,2022-06-10,Tata Ace,Ariston_Rithala,Rithala,Haldwani,11000.0,"0163, 0164",2022-07-06 00:00:00,Jai shree Durga,8000.0
644,25703,2022-06-10,Tata Ace,Ariston_Rithala,Rithala,Chhatarpur,1475.0,"0163, 0164",2022-07-06 00:00:00,Sunny Tempo,1100.0
645,25704,2022-06-11,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,Sunny Tempo,1100.0
646,25705,2022-06-11,Tata Ace,Ariston_Rithala,Rithala,Chhatarpur,1475.0,"0163, 0164",2022-07-06 00:00:00,Sunny Tempo,1100.0
647,25706,2022-06-13,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0163, 0164",2022-07-06 00:00:00,Sunny Tempo,1100.0
648,25707,2022-06-14,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0146, 0147",2022-06-23 00:00:00,Sant Kumar,1100.0
649,25708,2022-06-14,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0163, 0164",2022-07-06 00:00:00,Arun Tempo,1100.0
650,25709,2022-06-14,Tata 407,Ariston_Rithala,Rithala,Okhla,2800.0,"0163, 0164",2022-07-06 00:00:00,Jai shree Durga,2000.0
